class,RP,ST,WCIMD,AR,MS,DS,LD,TLC,MDLC,H1LC,CWC,DA,PA,HTTP or HTTPs,OL,IL,IMGL,Backlinks,Traffic,DSX,SMR,CT,WC,RTS,SDMS,SMU,KWURL,QWURL,KWMD,KWT
C,3,3,21,12584,78,98,1.9,70,127,48,2571,92,72,1,53,19,5,506,1057,14,4490,1,15,1,6,1,1,1,1,1
D,4,3,24,60651,60,95,2.2,72,142,72,1246,25,37,1,219,182,6,371,2901,56,344284,1,8,1,14,1,1,0,1,1
E,5,3,21,158069,50,70,2.2,94,141,71,1450,43,41,1,207,170,1,344,0,14,1256938,1,21,1,12,1,0,1,0,0
F,6,5,21,12584,50,95,2.2,59,314,59,5523,92,72,1,97,50,36,344,1057,14,4490,1,15,1,6,1,1,1,1,1
G,7,5,49,12584,43,96,2.8,70,127,48,2571,92,72,1,53,19,5,6,6092,14,4490,1,15,1,6,1,0,1,0,0
H,8,5,21,16334,28,30,3,71,89,71,1787,88,63,1,170,99,16,2797,1945,14,47319,1,21,1,10,1,1,1,0,1
I,9,5,34,9695,16,44,3.3,59,188,58,2159,80,64,1,186,113,29,1084,1593,14,3090,1,21,1,5,1,1,0,0,1
J,10,5,48,111,14,36,3.5,70,346,25,842,92,74,1,266,264,2,735,7141,14,2445,1,7,1,0,0,0,0,1,1
K,91,5,12,586831,9,65,3.5,48,74,33,2944,35,40,1,134,89,7,4,0,14,1348831,1,21,1,9,1,1,0,1,1
L,92,5,28,114412,13,40,3.7,43,162,25,1683,37,52,1,200,189,29,48,164,14,138464,1,7,1,11,1,1,0,1,1
M,93,5,24,83147,61,91,4.9,61,156,59,2548,25,37,1,108,99,13,60,778,13,1115254,1,21,1,6,1,1,0,1,1
N,94,5,27,15922,11,59,6.3,60,192,34,9781,49,54,1,234,227,60,11807,516,14,133920,1,21,1,10,1,0,0,1,1
O,95,5,28,38424,82,60,2.6,71,163,61,4356,36,49,1,230,115,51,22,60,14,676897,1,21,1,11,1,1,1,1,1
P,96,5,48,72916,33,66,2.6,71,295,88,3061,28,36,1,151,104,10,253,88,14,594882,1,21,1,7,1,0,0,1,0
Q,97,5,23,2824,25,96,1.8,44,149,25,2077,89,69,1,162,150,14,2108,5204,14,15230,0,19,1,0,0,1,0,1,0
R,98,5,19,8492257,20,27,6.6,77,121,77,2836,17,30,1,159,83,40,6,0,14,13205645,1,21,1,11,1,0,0,0,1
S,99,5,24,1313980,8,86,2.3,53,157,44,1379,16,29,1,83,66,3,24,2,14,2751827,1,21,1,16,1,1,0,0,1
T,100,5,23,3461946,3,32,7.1,81,148,40,1525,7,20,0,91,81,21,89,50,14,8271966,1,21,1,3,1,0,0,0,1
A,1,1,17,61246,79,93,1,51,115,64,2136,48,46,1,214,207,16,601,9534,14,115759,1,21,1,5,1,1,1,1,1
B,2,2,23,13684,50,40,1.2,60,149,48,6232,67,52,1,532,524,36,457,2335,14,9141,1,21,1,3,1,1,0,1,1
C,3,3,55,10400,36,91,1.2,63,136,57,1755,57,55,1,114,88,11,374,556,14,23237,0,21,1,0,0,1,1,1,1
D,4,3,7,10400,31,78,1.4,44,117,38,2279,57,55,1,131,91,8,184,1768,14,23237,0,21,1,0,0,1,0,0,0
E,5,3,22,6014,27,78,1.4,42,155,42,3307,63,60,1,172,143,14,183,2696,17,3098,1,7,1,0,0,1,1,1,0
F,6,5,42,99122,23,72,1.4,72,262,72,3304,36,39,1,210,148,49,153,377,14,896832,1,21,1,0,0,1,0,1,1
G,7,5,15,14154,22,91,1.9,66,96,66,9113,54,54,1,385,249,138,111,161,14,100284,1,21,1,4,1,1,0,0,0
H,8,5,23,1617,19,64,2,49,143,49,3380,80,69,1,131,111,33,208,929,14,10281,1,21,1,7,1,1,0,1,1
I,9,5,55,10400,18,78,3,63,136,57,1755,57,55,1,114,88,11,183,556,14,23237,0,21,1,0,0,1,1,1,1
J,10,5,29,241017,17,60,3,50,153,33,3965,32,37,1,143,89,7,76,1184,16,632431,1,21,1,6,1,1,1,0,0
K,91,5,20,148,13,43,2.6,102,259,33,1298,94,96,1,81,41,34,1,0,14,7,0,24,1,3,1,1,0,1,0
L,92,5,36,94,11,35,4.1,111,198,64,4560,95,81,1,135,118,40,272,103,14,123,1,2,1,4,1,0,1,0,1
M,93,5,22,56358,54,90,2.9,72,170,32,2358,55,53,1,418,410,3,180,1635,13,64962,1,21,1,10,1,1,0,0,0
N,94,5,23,8388,44,87,1.3,54,135,54,4042,41,44,1,234,173,37,163,2,14,15650,1,7,1,13,1,1,0,1,1
O,95,5,27,14839,59,89,1,56,163,38,7123,50,53,1,1299,1203,92,152,1937,13,17387,1,3,1,4,1,1,1,0,0
P,96,5,34,5154,40,95,1,53,211,53,3234,76,58,1,239,196,19,358,1430,14,1966,1,21,1,6,1,0,1,0,0
Q,97,5,27,3636,46,86,1.2,71,151,71,5889,91,70,1,222,150,52,2565,2949,14,3112,1,21,1,5,1,1,0,0,0
R,98,5,22,18928,37,78,0.9,52,145,52,3798,50,56,1,279,142,17,775,710,14,32163,1,21,1,8,1,1,0,0,0
S,99,5,28,288636,25,57,2.7,71,152,55,1242,40,49,1,146,134,21,2,0,14,837442,1,21,1,6,1,1,0,0,1
T,100,5,24,32557,87,97,1.2,52,140,61,2934,52,52,1,157,146,12,49,6,14,63547,1,21,1,5,1,1,0,1,1
A,1,1,29,12487,67,95,1,65,188,0,5129,55,49,1,0,0,0,1235,32374,14,17534,1,21,1,1,1,1,0,1,1
B,2,3,20,31662,53,96,1,57,135,45,3183,63,59,1,328,287,0,9334,48149,13,4957,1,3,1,0,0,1,0,1,1
C,3,3,19,38424,53,85,1,72,187,84,88287,36,49,1,1808,661,559,1070,0,14,676897,1,21,1,11,1,1,0,0,1
D,4,3,22,52936,36,74,1.2,56,131,40,2041,38,42,1,131,113,18,276,0,14,181505,1,21,1,12,1,1,0,0,0
E,5,3,25,30068,34,69,1.9,58,145,6,442,47,46,1,31,12,0,78,1,14,43328,1,21,1,0,0,1,0,0,0
F,6,4,32,870346,25,57,1.9,80,234,0,560,13,19,1,0,1,0,1,0,41,30785409,1,19,1,0,0,0,0,0,1
G,7,4,23,809849,22,53,1.9,67,150,29,1750,15,35,1,83,73,17,4829,43,14,5458581,1,19,1,14,1,0,0,1,0
H,8,4,1,2930299,21,36,10.8,61,0,0,345,25,33,0,1,1,0,1181,0,14,38002112,1,19,1,0,0,0,0,0,1
I,9,4,20,31662,15,27,2.3,57,135,45,3183,63,59,1,328,287,0,9334,48149,13,4957,1,3,1,0,0,1,0,1,1
J,10,2,19,38424,12,51,2.8,72,187,84,88287,36,49,1,1808,661,559,1070,0,14,676897,1,21,1,11,1,1,0,1,1
K,91,5,23,14714,12,81,4.4,60,141,31,2886,53,52,1,116,105,2,141116,50087,14,47130,1,21,1,19,1,0,0,0,0
L,92,5,22,102813,7,42,6.9,64,142,62,4577,38,41,1,205,127,35,532,850,14,55359,1,21,1,7,1,1,0,1,0
M,93,5,25,100924,3,73,2,57,165,20,3514,31,37,1,162,144,55,13415,5431,14,2410413,1,2,1,0,0,0,0,1,1
N,94,5,1,106900,19,51,3,43,137,43,3375,20,36,1,156,63,12,4,1,2,590682,0,21,1,9,1,1,1,0,0
O,95,5,27,1292373,84,88,3.3,60,162,27,584,16,29,1,51,35,18,7129,115,13,5185878,0,2,1,0,0,0,0,1,1
P,96,5,42,472305,27,62,6.2,58,300,0,1206,17,46,1,351,338,124,3737,341,26,6352013,1,2,1,1,1,0,0,1,1
Q,97,5,20,306806,44,76,1.6,72,149,70,15359,58,62,1,2922,2901,38,621833,17548,14,1028980,1,21,1,14,1,0,0,0,1
R,98,5,44,2095758,12,55,9,54,309,54,1397,7,20,0,148,135,25,0,0,26,5452012,0,21,1,0,0,1,1,0,1
S,99,5,31,526325,26,75,2.7,73,213,59,4615,26,33,1,140,128,6,879,185,14,10929935,1,19,1,8,1,0,0,1,1
T,100,5,26,53417,9,17,2.8,70,155,57,2292,76,49,1,226,120,32,17,0,14,214094,1,15,1,8,1,1,0,0,0
A,1,1,21,917,91,98,0.9,65,146,0,4564,92,58,1,0,0,0,2,1,24,1067,0,13,1,0,0,0,0,0,1
B,2,3,13,7028330,84,83,1,40,81,40,1588,16,25,1,166,148,6,7,5,13,3061616,0,19,1,4,1,1,0,1,1
C,3,3,21,155276,62,88,1.2,115,144,68,3200,64,46,1,95,77,1,172,15,17,18719,1,7,1,0,0,1,0,0,1
D,4,3,23,152177,46,87,1.6,60,148,40,2665,50,42,1,339,299,25,35,122,40,149820,1,2,1,12,1,0,1,0,0
E,5,3,27,378842,42,88,1.8,44,158,28,1374,32,40,1,167,142,24,9,118,14,1164198,1,21,1,11,1,0,0,0,0
F,6,5,27,391178,33,86,2.6,77,153,55,4438,19,31,1,217,156,116,4,176,14,120677,1,7,1,15,1,0,0,0,0
G,7,5,22,156,30,68,4.4,120,210,114,19562,93,74,1,218,205,4,10,3,35,675,1,7,1,3,1,1,0,1,0
H,8,5,27,22624,29,66,3.5,84,240,47,2232,64,58,1,132,122,16,2,2,14,18461,1,2,1,0,0,1,0,1,1
I,9,5,15,1066,24,62,2.1,38,99,14,611,92,72,1,90,77,3,0,0,40,1220,0,15,1,0,0,0,0,0,0
J,10,5,23,254496,15,60,1.3,58,153,47,1275,59,54,1,73,52,7,43,62,14,52812,1,2,1,10,1,1,0,0,0
K,91,5,1,2888,14,23,2,86,0,23,2937,90,66,1,102,70,5,484,0,40,1261,0,2,1,0,0,0,0,0,1
L,92,5,20,511446,93,99,1.3,61,137,0,0,62,45,0,0,0,0,17,0,40,551771,0,15,1,0,0,0,0,0,0
M,93,5,24,7395,39,56,1.9,63,163,0,0,71,64,0,0,0,0,0,0,17,5071,0,7,1,0,0,0,0,1,0
N,94,5,28,2158,20,31,3.7,45,167,45,853,93,79,1,24,20,1,121,0,14,185,1,7,1,5,1,0,0,1,1
O,95,5,29,1301465,29,93,2,36,156,0,868,22,29,0,50,37,5,4,0,40,954969,1,4,1,0,0,1,0,1,1
P,96,5,29,1534,7,25,9.6,142,200,98,2668,90,67,1,368,269,33,4,0,14,1981,0,13,1,0,0,0,0,0,0
Q,97,5,26,92061,34,71,2,57,156,0,345,64,44,0,1,1,0,1,0,17,22261,0,7,1,0,0,0,0,0,0
R,98,5,21,362556,5,33,3.7,68,140,29,910,62,46,1,209,167,3,7,0,13,226707,1,2,1,9,1,0,0,0,1
S,99,5,27,126017,21,48,2,56,167,0,560,67,47,1,0,0,0,0,0,17,13179,0,7,1,0,0,0,0,0,0
T,100,5,23,7048,22,69,3.2,38,124,38,2522,90,68,1,373,362,37,80,28,14,3056,1,7,1,5,1,1,0,0,1
A,1,5,31,1024133,81,94,0.8,51,162,51,3870,44,49,1,449,440,34,68,213,14,37099,1,2,1,2,1,1,0,1,1
B,2,1,35,94,72,87,1,102,199,49,1366,95,81,1,121,113,32,241,0,14,123,1,2,1,5,1,1,1,0,1
C,3,3,7,1540,56,84,1.7,71,53,16,2185,93,74,1,313,299,26,172,0,14,375,1,21,1,0,0,1,1,1,1
D,4,3,23,31930,55,83,1.8,60,167,31,992,72,64,1,141,119,4,89,195,17,5591,1,7,1,5,1,1,0,0,1
E,5,3,24,3680475,49,80,1.8,57,151,57,886,26,22,1,126,110,10,61,83,17,385173,1,7,1,0,0,1,1,0,1
F,6,3,24,120206,37,79,2,48,159,14,1200,55,42,1,1,1,17,38,14,45,17586,1,10,1,0,0,1,0,1,1
G,7,5,12,4810,35,64,2.4,66,71,68,2568,92,70,1,132,85,6,34,389,14,1791,1,2,1,8,1,1,0,1,1
H,8,5,9,3354221,21,94,2.7,58,58,44,1093,25,30,0,24,15,3,25,659,25,1685444,0,2,1,0,0,1,0,1,1
I,9,5,24,57921,19,54,3.9,63,145,47,2604,52,45,1,702,688,16,23,860,14,15156,1,2,1,0,0,0,0,1,1
J,10,5,26,139036,13,43,7.8,82,147,71,3762,34,36,1,67,50,16,7,325,13,22330,1,21,1,5,1,1,0,0,1
K,91,5,19,4580,11,42,2.3,54,135,0,1325,90,59,0,1,1,0,6,0,17,3458,1,7,1,0,0,1,0,0,0
L,92,5,30,146,10,8,1.5,32,159,32,880,93,74,1,111,72,19,5,309,14,284,1,21,1,2,1,1,0,0,0
M,93,5,39,11539,10,29,4.9,22,225,22,7054,86,75,1,258,226,18,3,6307,40,613,1,10,1,3,1,0,0,0,0
N,94,5,19,1824292,7,87,0.6,110,125,39,1395,39,43,0,68,61,14,0,389,14,737911,0,7,1,1,1,0,0,0,0
O,95,5,25,102043,60,75,1.6,64,141,0,0,72,64,1,0,0,0,454,27,40,65013,0,2,1,0,0,0,0,0,0
P,96,5,28,129,79,91,2.5,47,156,17,1329,95,73,1,117,101,10,3259,8281,24,38,1,15,1,0,0,0,0,0,0
Q,97,5,25,494,50,87,1.5,134,155,0,6512,92,73,1,0,0,0,16,10,14,941,1,2,1,0,0,0,0,0,1
R,98,5,28,347421,76,81,2.1,69,167,46,2442,32,33,1,129,113,17,131,1512,14,163106,1,2,1,12,1,0,1,0,0
S,99,5,45,2619781,46,73,3.2,69,286,41,879,22,32,1,108,93,4,37,411,40,614510,1,7,1,17,1,0,0,0,0
T,100,5,22,176,45,69,3.1,114,115,92,1387,95,83,1,131,88,0,1262,2,14,90,1,15,1,7,1,1,0,0,0
A,1,3,29,13273,20,92,1.5,39,162,0,567,90,50,1,0,0,0,97,2220,24,2511,0,15,1,0,0,0,0,1,1
B,2,3,13,24348,78,89,1,53,83,29,5236,75,61,1,288,255,11,58,1141,24,1953,0,11,1,1,1,1,0,1,1
C,3,3,16,14841,73,68,1.4,66,110,27,8034,86,72,1,621,548,1,7588,6282,24,593,1,15,1,3,1,0,1,1,1
D,4,3,28,129,72,89,1.5,46,163,3,1104,95,80,1,76,59,6,266,1258,24,38,1,15,0,0,0,0,0,1,1
E,5,5,24,354752,67,59,1.6,60,164,42,1715,60,47,1,57,40,3,349,596,14,30827,1,11,1,2,1,1,0,1,1
F,6,5,28,534,44,51,1.7,144,200,62,7896,93,73,1,501,387,17,9,26,14,1144,0,8,1,0,0,0,0,1,0
G,7,5,23,156,44,45,1.7,59,275,45,21191,93,74,1,466,453,4,0,32,35,675,1,2,1,3,1,1,0,1,1
H,8,5,16,108242,42,43,1.7,48,90,26,1537,85,63,1,140,70,11,361,68,14,16436,1,11,1,5,1,1,1,1,1
I,9,5,43,129,23,92,3.4,46,256,3,1104,95,80,1,76,59,6,266,1258,24,38,1,15,0,0,0,0,0,1,1
J,10,5,29,134,23,96,0.8,54,256,45,1587,95,72,1,128,98,0,7,104,24,38,1,15,1,0,0,0,0,0,1
K,91,5,77,1766,19,74,1.1,111,596,86,843,83,63,1,107,84,1,0,0,40,6733,1,15,1,8,1,1,0,1,1
L,92,5,25,60095,19,30,5.1,84,144,65,1079,48,41,1,239,176,10,0,0,26,519914,0,13,1,15,1,1,0,0,1
M,93,5,6,6231086,19,93,1.1,93,53,0,4174,29,31,1,283,248,70,59,15,14,1458938,0,13,1,0,0,0,0,0,1
N,94,5,27,14843,17,74,2.3,59,163,0,567,69,47,1,0,0,0,4,12,17,5276,0,7,1,0,0,0,0,0,0
O,95,5,21,1136,14,61,1,76,114,63,580,41,47,1,59,38,1,0,0,26,2886,1,18,1,0,0,0,0,1,1
P,96,5,21,82868,13,43,3,70,127,0,1235,57,53,1,0,0,0,36,12,14,8782,1,21,1,0,0,0,1,1,1
Q,97,5,23,66,19,58,5.9,59,144,49,1069,96,81,0,1,1,22,252,0,14,31,1,11,1,0,0,0,0,1,1
R,98,5,27,322450,79,97,2.5,78,172,40,5630,39,38,1,93,60,2,6,0,14,834238,0,2,1,0,0,0,0,1,1
S,99,5,8,2747,21,67,2.7,41,47,41,1988,91,69,1,159,96,0,43,49,14,146,1,11,1,8,1,0,1,0,1
T,100,5,77,65576,29,77,7.6,98,595,13,3220,62,48,1,170,156,9,9,18,14,16904,1,11,1,0,0,0,0,1,1
A,1,1,27,324844,84,88,1,54,175,35,1899,57,40,1,142,121,11,7,248,14,213940,1,5,1,0,0,1,1,1,1
B,2,5,26,4529,50,95,1.2,61,157,31,2516,79,57,1,168,126,13,478,1662,14,8892,1,5,1,1,1,1,1,1,0
C,3,3,46,6186,44,88,2.2,87,259,74,843,90,65,1,181,155,32,20,422,14,2893,1,2,1,12,1,1,1,1,1
D,4,3,26,197851,38,77,2.4,72,156,59,1044,76,50,1,83,64,20,20,383,14,223552,1,2,1,12,1,1,1,1,1
E,5,3,15,582674,37,68,2.6,66,86,40,3049,45,40,1,209,171,18,18,486,14,60268,1,2,1,7,1,0,1,0,0
F,6,3,30,13,32,100,2.6,24,161,12,8487,98,89,1,1136,898,19,12,1449,40,1,1,28,1,3,1,1,0,1,1
G,7,5,30,41,26,59,2.8,74,181,0,1412,92,70,1,289,226,37,12,4714,26,829,1,5,1,0,0,0,0,0,0
H,8,5,35,82,23,57,3,83,209,22,2557,91,68,1,166,99,58,3,10115,14,1920,0,5,1,4,1,0,0,0,0
I,9,5,26,197851,16,54,3,72,156,59,1044,76,50,1,83,64,20,2,383,14,223552,1,25,1,12,1,1,1,1,1
J,10,5,18,357,16,51,3,55,93,0,9,93,77,1,6,1,0,0,45,14,54,1,18,0,0,0,1,0,1,1
K,91,5,11,169,15,47,3.9,37,63,0,2041,94,78,1,1,1,0,0,684,14,70,1,15,1,0,0,1,1,0,0
L,92,5,7,5534,12,95,1,48,49,20,11360,86,61,1,711,669,54,2081,305,35,3227,1,6,1,3,1,0,1,0,0
M,93,5,24,2938,12,74,1.5,35,148,29,1132,89,65,1,176,120,7,89,70853,13,5229,1,6,1,2,1,0,0,0,0
N,94,5,28,949215,92,99,0.8,55,139,42,512,22,34,1,46,35,3,0,7,14,958659,1,2,1,8,1,1,0,0,0
O,95,5,1,0,18,39,1.5,0,0,0,765,20,22,0,0,0,0,0,0,30,2726432,0,2,1,0,0,0,0,0,0
P,96,5,36,4240,20,50,1.2,43,188,25,3801,91,67,1,220,131,66,186,131,14,1559,1,6,1,0,0,0,1,0,0
Q,97,5,36,4240,19,31,1.2,43,188,25,3801,91,67,1,220,131,66,0,0,14,1559,1,6,1,0,0,0,1,0,0
R,98,5,19,8204,23,53,1.8,75,100,70,4728,88,60,1,284,90,39,74,5565,14,3020,1,2,1,6,1,0,1,0,0
S,99,5,32,1417,10,21,2.9,76,162,53,11994,68,58,1,127,105,25,469,220688,14,19092,0,19,1,0,0,0,0,0,0
T,100,5,46,12474,9,33,2.6,104,300,57,7581,37,38,1,791,779,58,13484,4586,26,108489,1,5,1,0,0,0,0,0,0
A,1,1,9,489,86,98,1.2,46,54,23,482,92,69,1,204,195,6,2348,72741,14,716,0,2,1,0,0,0,0,1,1
B,2,5,26,13,83,98,1.2,50,153,38,840,98,89,1,419,302,53,2065,28570,40,1,1,28,1,3,1,1,1,1,1
C,3,3,32,161431,58,84,1.3,69,184,0,1483,31,39,1,0,1,0,1597,2864,14,322188,1,21,1,0,0,1,1,1,1
D,4,3,26,394450,57,91,1.6,53,138,44,3601,12,24,1,159,117,39,1002,463,14,359845,1,2,1,9,1,1,1,1,1
E,5,3,26,574,54,73,1.8,60,140,67,1446,92,68,1,223,168,13,47,9235,14,142,1,15,1,7,1,0,1,0,1
F,6,3,22,58291,51,64,1.9,64,139,53,3804,45,41,1,465,444,0,46,439,14,19396,1,21,1,11,1,1,1,0,1
G,7,5,26,6824,47,60,2,49,155,0,942,84,55,1,0,1,81,18,3184,14,15454,1,2,1,2,1,1,0,1,1
H,8,5,31,373,39,43,2.3,74,183,19,1215,92,66,1,776,744,194,1113,9305,14,488,1,5,1,4,1,1,0,1,1
I,9,5,8,38577,39,37,3.5,49,49,49,1188,52,51,0,259,234,73,33,9799,14,25923,1,2,1,9,1,1,1,1,1
J,10,5,28,146,39,41,3.5,57,163,37,1988,93,74,1,0,1,57,57,1741,14,284,1,2,1,6,1,1,1,0,1
K,91,5,31,85900,35,70,2.4,58,203,26,6795,61,48,1,347,286,59,128,717,14,116029,1,2,1,3,1,0,1,1,0
L,92,5,29,7474,27,91,1.2,25,159,13,4309,56,52,1,557,541,51,8197,501830,14,14813,0,2,1,6,1,0,0,0,0
M,93,5,25,82,26,68,2.9,82,139,16,3003,91,68,1,169,108,52,0,2714,14,1920,0,5,1,4,1,0,0,1,0
N,94,5,38,980,16,69,13.8,50,237,30,362,92,78,0,123,110,35,8,20,14,15377,0,2,1,0,0,0,0,1,0
O,95,5,46,23992,13,81,3,45,292,26,1255,63,56,1,284,271,27,44,1029,40,61932,1,2,1,5,1,0,0,0,0
P,96,5,23,12526,6,26,4.8,57,158,36,1210,67,50,1,209,204,18,58,148,14,14774,0,2,1,2,1,0,0,0,0
Q,97,5,27,45387,32,65,3.8,70,152,49,2147,11,29,1,297,252,11,11,469,26,161889,1,2,1,14,1,0,1,0,0
R,98,5,20,463508,25,73,6.7,55,133,71,1305,24,35,1,239,180,18,2,36,35,3235514,1,21,1,13,1,0,1,1,0
S,99,5,22,9170,35,54,1.6,45,143,28,547,69,46,1,55,52,0,7,18,14,3531,1,2,1,8,1,0,1,0,0
T,100,5,5,255,18,58,3.2,33,42,0,3838,94,77,1,644,626,27,19,176,14,122,1,6,1,4,1,0,0,0,0
A,1,5,28,2863,61,70,1.4,56,142,40,2974,91,64,1,252,144,15,14710,50451,14,720,1,2,1,6,1,1,1,1,1
B,2,1,4,3530,56,57,2.1,62,36,54,1606,92,74,1,351,237,88,8584,713,14,1863,1,21,1,6,1,1,1,1,1
C,3,5,29,762,42,44,2.2,142,157,0,10189,92,71,1,1,1,0,538,0,14,173,1,15,1,0,0,1,1,1,1
D,4,3,25,762,18,44,3.1,42,137,34,2351,92,71,1,342,281,19,463,1600,14,173,1,15,1,7,1,1,0,1,1
E,5,3,21,372,18,37,3.2,52,109,52,839,92,70,1,160,124,4,170,0,14,488,1,19,1,11,1,0,0,0,0
F,6,3,26,169,18,36,4.5,55,129,48,916,94,78,1,250,211,8,321,94,14,70,1,15,1,6,1,1,1,1,1
G,7,5,31,357,17,33,4.6,45,157,0,9,93,77,1,6,1,0,211,328,14,54,1,18,0,0,0,1,1,0,1
H,8,5,67,6294,16,24,4.6,71,139,55,4171,82,56,1,328,281,43,4011,2546,14,5560,1,21,1,0,0,1,1,1,1
I,9,5,26,1307,16,12,4.6,54,149,37,7157,92,69,1,632,516,3,5602,4291,14,516,0,21,1,6,1,1,1,1,1
J,10,5,32,12559,16,21,3.8,57,171,39,315,88,69,1,104,75,10,610,1562,14,3473,1,2,1,0,0,1,0,0,0
K,91,5,27,89574,16,50,3,59,155,45,4169,37,41,1,406,289,117,44,296,14,1123912,1,21,1,7,1,1,1,0,1
L,92,5,7,7900,14,92,0.5,65,40,0,1225,90,67,1,25,14,1,2394,6106,40,11844,0,21,1,1,1,1,0,0,1
M,93,5,35,668900,12,62,3.6,66,193,54,2372,20,33,1,168,121,18,17,6,14,473631,1,2,1,13,1,1,0,1,1
N,94,5,17,238733,9,58,2,47,108,47,1139,27,24,1,41,26,10,10,345,13,133947,1,21,1,0,0,0,0,0,0
O,95,5,27,7907,6,45,3.6,51,150,14,3477,91,65,1,547,436,148,198,0,14,5220,1,21,1,8,1,1,1,0,0
P,96,5,33,696,18,28,5.1,61,199,49,1751,93,74,1,194,124,10,361,40,14,136,1,2,1,5,1,1,1,0,0
Q,97,5,26,27078,22,58,2.6,39,149,29,4993,82,33,1,326,229,31,5589,73,14,13923,1,2,1,4,1,1,1,1,1
R,98,5,19,2857,43,89,1.1,44,102,0,2158,89,54,1,159,94,9,85,93,14,15230,1,21,1,6,1,0,0,0,0
S,99,5,22,30641,98,98,1,53,127,62,1228,79,51,1,109,86,11,107,0,35,50048,1,2,1,4,1,1,1,1,1
T,100,5,22,71991,10,53,2.2,53,121,53,1254,12,29,1,128,85,24,27,0,14,47613,1,2,1,11,1,1,0,1,1
A,1,1,24,2920,50,90,0.8,68,152,45,1763,76,69,1,78,77,0,6,735,14,5722,0,2,1,0,0,1,0,1,1
B,2,3,22,2523,47,44,1.1,84,142,0,1381,91,73,1,0,0,0,371,257,14,844,1,2,1,0,0,1,1,1,1
C,3,3,25,91608,45,89,1.4,60,151,44,675,72,57,1,170,156,9,213,539,14,13664,1,15,1,7,1,1,0,1,1
D,4,3,16,7282,27,45,2.6,46,92,46,1217,86,66,1,191,173,10,50,0,13,16680,1,21,1,5,1,1,1,0,1
E,5,3,22,1150731,27,67,2.8,74,139,62,726,29,28,1,112,100,5,16,182,14,226896,0,8,1,8,1,1,1,1,1
F,6,5,18,87,25,53,2.9,65,100,54,958,95,79,1,126,83,12,5,2,14,84,1,15,1,3,1,0,0,0,1
G,7,5,22,1433235,23,57,3,55,150,55,1839,21,23,1,165,68,10,5,407,14,1566164,0,21,1,9,1,1,0,1,1
H,8,5,28,133,23,59,3.1,67,172,42,1501,95,79,1,162,124,2,0,12,14,70,0,7,1,0,0,1,0,0,1
I,9,5,30,3436,20,51,3.5,33,188,33,1251,91,68,1,126,102,17,34,99,14,2358,1,15,1,4,1,1,0,1,1
J,10,5,21,1454005,20,43,3.7,69,139,59,1144,54,37,1,209,130,32,25,61,13,1677779,1,15,1,10,1,1,1,0,1
K,91,5,9,1614,15,40,4.6,46,59,20,2221,88,61,1,183,174,3,1,11,24,3519,0,7,1,0,0,0,0,0,0
L,92,5,44,852,14,38,2.7,121,274,91,1207,92,70,1,301,264,41,16,31,14,1263,1,7,1,11,1,1,0,1,1
M,93,5,1,4945,10,76,2,0,0,0,213,92,85,1,0,0,0,0,0,14,15489,1,7,1,0,0,1,0,0,0
N,94,5,20,60171,9,47,11.7,98,131,98,1848,73,53,1,211,145,22,19,0,14,5575,1,2,1,8,1,1,0,1,1
O,95,5,20,66,7,50,5.5,65,304,0,25388,96,81,1,2,1,0,1017,1797,14,31,1,2,1,0,0,0,0,0,0
P,96,5,1,449,6,10,5.3,129,191,140,1391,95,70,1,1,1,23,1508,5,14,417,1,15,1,5,1,0,0,0,0
Q,97,5,26,6727,5,79,3.9,72,170,62,431,86,61,1,1,1,0,0,0,14,644,1,11,1,5,1,0,0,0,0
R,98,5,20,915,29,45,5.6,92,113,0,4011,86,66,1,219,191,37,35,0,14,7435,1,15,1,5,1,0,0,0,0
S,99,5,37,17553,67,82,1.5,94,243,81,1412,78,63,1,93,77,4,358,172,40,2465,1,2,1,4,1,0,0,0,0
T,100,5,35,2585,62,31,2.8,70,215,46,1319,89,64,1,380,331,78,0,0,14,5439,1,15,1,11,1,0,0,0,0
A,1,1,31,40,72,80,1,38,164,25,892,100,81,1,132,123,7,13415,11420,14,17,1,5,1,5,1,1,0,1,1
B,2,5,24,40,41,79,1.3,59,162,20,845,100,81,1,128,119,3,7783,75806,14,17,1,5,1,6,1,1,0,1,1
C,3,5,31,40,37,84,1.3,38,164,28,918,100,81,1,132,125,4,3707,1951,14,17,1,5,1,6,1,1,0,1,1
D,4,5,15,40,37,55,1.3,22,20,14,50,100,75,1,4,4,0,2822,19027,14,17,0,5,1,0,0,0,0,0,0
E,5,5,27,5217589,36,75,1.3,13,156,0,9,1,5,1,3,2,1,593,0,14,48604638,0,6,1,0,0,0,0,0,0
F,6,5,24,40,36,86,1.3,61,149,12,226,100,81,1,105,100,2,506,6621,14,17,1,5,1,5,1,0,0,0,0
G,7,3,31,40,36,80,1.3,38,164,25,1335,100,81,1,138,129,6,182,181533,14,17,1,5,1,6,1,1,0,1,1
H,8,3,45,834,32,56,2.5,52,254,52,985,90,66,1,111,84,19,103,4215,14,508,1,2,1,5,1,0,1,1,0
I,9,3,31,762,26,42,2.6,49,212,41,2408,92,71,1,300,242,7,8,4372,14,173,1,25,1,7,1,1,1,0,0
