class,RP,ST,WCIMD,AR,MS,DS,LD,TLC,MDLC,H1LC,CWC,DA,PA,HTTP or HTTPs,OL,IL,IMGL,Backlinks,Traffic,DSX,SMR,CT,WC,RTS,SDMS,SMU,KWURL,QWURL,KWMD,KWT
F,6,5,26,327402,34,61,4.4,50,157,16,1837,16,23,1,392,385,107,3395,1282,14,2690354,1,5,1,0,0,1,0,1,1
G,7,5,26,329,27,55,8.3,64,14,48,1840,93,75,1,70,69,6,29,204,14,425,0,5,1,0,0,0,0,0,0
H,8,5,22,6,21,55,1.5,31,154,50,4585,96,100,1,218,153,65,0,0,14,5,1,24,0,0,0,0,0,0,0
I,9,5,25,133752,18,55,5,61,153,0,33943,25,36,1,1058,1039,126,2951,9782,41,1675104,1,5,1,0,0,0,0,0,0
J,10,5,26,665431,16,50,2.3,87,324,44,2035,26,33,1,436,417,36,1368,1318,41,2500353,1,5,1,0,0,0,0,1,0
K,91,5,29,91427,16,50,2.6,23,10,0,434,71,62,1,212,202,2,21,1637,14,20130,1,6,1,0,0,0,0,0,1
L,92,5,24,453317,15,49,3.8,28,156,0,433,47,46,1,242,237,13,1470,14444,14,42006,1,7,1,1,1,0,0,0,0
M,93,5,26,52591,9,48,2.4,75,155,40,2422,58,51,1,814,802,74,9510,289967,13,416742,1,5,1,0,0,0,0,0,0
N,94,5,24,8137523,9,45,6.6,41,155,0,320,12,21,1,97,95,28,86,7,41,40511835,1,5,1,5,1,0,0,0,0
O,95,5,25,98750,6,42,2,63,273,45,257,26,42,1,93,82,16,0,0,41,164430,1,5,1,1,1,1,0,1,1
P,96,5,23,1055,5,34,2.7,46,129,0,267,92,74,1,1,1,0,3905899,6423133,14,760,0,21,1,0,0,0,0,0,0
Q,97,5,20,42098,3,15,2.1,88,157,12,1292,59,55,1,191,166,26,91539,213609,14,5691,1,5,1,3,1,0,0,0,0
R,98,5,15,293,10,11,3.6,69,95,0,1121,93,69,1,424,302,1,194773,767228,14,298,1,5,1,4,1,0,0,0,0
S,99,5,21,16336,24,58,2.1,63,301,55,816,85,68,1,53,43,5,4169979,634507,14,5708,1,20,1,0,0,0,0,0,0
T,100,5,30,5979,12,14,3.6,45,223,17,1847,73,63,0,4234,64,3432,392054,398237,14,36935,1,5,1,0,0,0,0,0,0
A,1,1,22,4663,85,100,0.8,67,131,53,3130,47,45,1,315,296,17,1402,8012,14,27335,1,21,1,10,1,1,0,1,1
B,2,5,24,4346,82,94,1.2,59,137,46,3043,55,52,1,535,484,8,822,19674,13,8188,1,21,1,12,1,1,1,1,0
C,3,3,23,32716,71,94,1.3,39,144,0,4211,59,48,1,0,0,0,519,2615,14,43533,1,2,1,0,0,0,0,1,0
D,4,3,25,26321,68,92,2.5,90,75,58,309,67,43,1,93,83,6,446,79,40,20375,0,13,1,0,0,1,1,1,1
E,5,3,15,3557,63,88,3,51,115,36,1491,88,66,1,221,173,30,126,3836,14,3144,1,21,1,7,1,0,1,1,0
F,6,5,23,4256,63,99,4.3,36,156,36,2805,59,57,1,166,137,17,9,40390,14,10437,1,21,1,9,1,0,1,1,0
G,7,5,27,16366,55,79,6.5,86,160,74,1418,45,45,1,192,174,1,20,1253,52,22270,1,22,1,0,0,0,0,0,1
H,8,5,27,355,43,70,1.5,64,161,0,9,93,77,1,6,1,0,3,72,14,54,1,18,0,0,0,1,1,1,1
I,9,5,18,4005,29,66,4.3,56,124,37,2429,78,65,1,355,304,41,32,2553,14,4136,1,21,1,4,1,0,0,0,0
J,10,5,19,13,28,100,1.3,41,160,29,8264,98,89,1,1639,1300,7,7612,10093,40,1,1,28,1,3,1,0,1,1,0
K,91,5,21,917,28,88,1.7,101,155,70,3050,92,75,1,253,192,6,9887,11628,24,1026,0,7,1,0,0,0,0,0,1
L,92,5,24,473470,22,45,1.8,49,155,0,976,18,32,1,46,44,8,1,114,14,299192,0,2,1,6,1,1,0,1,1
M,93,5,27,408789,20,44,3.5,60,164,35,1053,64,56,1,198,179,30,95,1006,14,64384,0,7,1,9,1,0,0,0,0
N,94,5,13,485770,17,37,11.2,7,93,15,2192,30,32,1,103,63,9,876,4508,14,449043,0,21,1,0,0,0,0,0,0
O,95,5,23,32716,17,34,2.1,64,144,0,766,59,48,1,0,0,0,0,0,14,43533,1,2,1,0,0,0,0,1,0
P,96,5,26,573490,14,92,1.5,64,148,40,4181,43,39,1,144,92,4,74,489,40,275935,1,6,1,9,1,0,1,0,0
Q,97,5,25,62224,11,17,1.6,71,187,47,7758,51,47,1,352,233,27,213,3338,34,48430,1,21,1,14,1,0,0,1,0
R,98,5,1,177842,12,14,1.3,19,0,0,1193,55,55,1,0,0,0,14,20,17,37019,1,7,1,0,0,0,0,0,0
S,99,5,23,14347,48,86,1.2,51,75,7,4330,91,52,1,327,225,59,164,2745,17,868,0,1,1,0,0,0,0,0,0
T,100,5,21,247,33,70,2.2,57,248,41,958,92,59,1,96,56,5,39,0,40,2497,1,8,1,8,1,0,1,1,0
A,1,1,27,156,88,95,1.5,72,215,66,13599,93,74,1,159,146,4,432,0,35,675,1,1,1,3,1,1,0,1,1
B,2,3,29,276,75,86,1,120,166,104,396,93,77,1,47,24,5,4,34,14,178,1,13,0,0,0,0,0,1,1
C,3,3,27,6430,74,86,1,54,40,54,1197,80,59,1,114,93,5,40,396,14,7492,1,19,1,4,1,1,0,1,0
D,4,3,8,6430,49,78,1,64,375,64,1462,80,59,1,111,91,5,6,99,14,7492,1,19,1,3,1,1,1,1,1
E,5,3,12,59395,46,76,1.5,72,67,46,954,79,56,1,124,85,12,2,85,14,13146,1,2,1,6,1,1,1,0,0
F,6,5,17,15273,46,76,1.7,74,121,50,2050,79,66,1,141,109,28,201,3,14,9748,1,19,1,9,1,1,1,1,1
G,7,5,27,156,44,75,2.3,72,215,66,13599,93,74,1,159,146,4,0,0,35,675,1,1,1,0,0,0,0,1,0
H,8,5,19,1463,38,73,2.4,74,135,64,1243,92,62,1,235,111,14,129,726,14,157,1,2,1,8,1,1,1,1,0
I,9,5,30,10509,37,72,2.8,52,164,0,343,72,50,1,0,0,0,2,0,17,4504,0,7,1,0,0,0,0,1,0
J,10,5,20,129,37,68,4.4,122,140,3,9524,95,80,1,349,211,10,13,5,24,38,1,1,0,0,0,0,0,0,0
K,91,5,23,21953,32,58,4.4,70,156,42,5087,76,58,1,215,135,48,20,0,14,2898,1,2,1,4,1,0,1,0,0
L,92,5,1,10493,32,57,3.3,0,0,0,0,86,60,1,0,0,0,0,0,3,1211,0,16,1,0,0,0,1,0,0
M,93,5,28,60975,26,95,2.4,60,152,0,0,89,76,1,0,0,0,17,22,40,52135,0,19,1,0,0,0,1,0,1
N,94,5,10,4220,22,57,3.9,70,66,56,893,92,69,1,116,97,0,15,328,13,5756,1,2,0,5,1,0,0,0,1
O,95,5,1,72712,14,57,3.6,0,0,0,368,73,50,1,0,0,0,0,0,14,9933,1,2,1,0,0,0,1,0,0
P,96,5,19,19583,11,51,0.6,122,142,0,155,92,69,0,1,0,0,32,0,40,16402,1,2,1,0,0,0,1,0,0
Q,97,5,26,5916244,11,40,3.9,54,54,24,1167,49,40,1,1,1,10,6,0,24,962666,0,19,1,1,1,0,0,0,0
R,98,5,26,2702,8,24,1.3,31,147,0,432,91,74,1,2,1,0,90548,0,13,195,0,19,1,0,0,0,0,0,0
S,99,5,29,259591,4,98,2.2,31,160,11,3660,59,56,1,1,1,2,55,3256,24,233899,0,19,1,1,1,0,0,0,0
T,100,5,24,0,56,76,1.5,31,150,0,45,10,17,0,0,0,0,0,0,10,20219598,1,19,1,0,0,0,0,0,0
A,1,1,35,6742,85,97,3.5,60,207,50,2886,56,51,1,137,122,21,302,23,14,5584,1,19,1,9,1,1,1,1,1
B,2,1,28,40208,80,97,1.9,47,151,42,1335,46,52,1,328,274,5,204,0,35,45899,1,7,1,1,1,1,1,1,1
C,3,3,19,6742,77,94,3.5,93,148,73,1806,56,51,1,227,197,21,36,608,14,5584,1,5,1,15,1,1,1,1,1
D,4,3,21,24168,44,87,3.4,40,148,14,1193,73,61,1,1,1,6,20,2411,14,11131,1,21,1,2,1,0,1,0,0
E,5,3,21,276076,41,87,5.7,78,141,66,1471,34,48,1,119,87,4,0,375,11,557331,1,2,1,8,1,0,0,0,1
F,6,3,23,404269,40,86,3.3,65,131,58,1287,30,38,1,231,109,36,3,2,40,1095694,1,7,1,4,1,1,1,0,1
G,7,5,24,9728262,36,97,2.4,55,139,88,1409,36,36,1,148,129,4,0,3,13,6845013,1,23,1,5,1,1,0,1,1
H,8,5,35,794859,24,69,2.6,60,207,50,2886,48,43,1,137,122,21,204,204,14,302983,1,19,1,9,1,1,1,1,1
I,9,5,1,7468,17,61,2.2,39,69,39,1666,90,70,1,172,124,6,170,460,17,1801,1,8,1,9,1,0,0,0,0
J,10,5,23,3436,17,60,1.9,61,159,61,1783,91,68,1,127,102,18,54,54,14,2358,1,21,1,4,1,1,1,0,1
K,91,5,25,3436,11,54,1.4,61,159,61,1783,91,68,1,127,102,18,209,54,14,2358,1,21,1,4,1,1,1,0,1
L,92,5,17,4291,11,52,8.2,89,101,83,2333,90,67,1,146,125,6,122,0,14,16844,1,15,1,7,1,0,0,0,0
M,93,5,23,9070,10,94,1.7,43,136,43,2514,72,52,1,236,202,17,95,274,14,471,1,11,1,0,0,0,1,1,1
N,94,5,22,10250,9,31,0.8,72,136,72,986,80,63,1,76,70,17,54,0,14,1536,0,15,1,6,1,1,0,0,1
O,95,5,23,12529,8,97,1,78,143,58,2835,76,53,1,93,85,3,41,181,14,15369,1,2,1,13,1,0,0,1,1
P,96,5,24,180806,6,26,2.6,51,156,51,1556,51,49,1,181,172,14,32,91,14,54218,1,7,1,6,1,0,0,0,0
Q,97,5,47,9267,5,25,2.3,74,321,57,617,69,46,1,55,52,0,21,14,14,3582,1,2,1,8,1,1,0,1,1
R,98,5,28,5365,23,20,3.7,55,165,0,0,92,74,0,0,0,0,17,365,40,5103,0,7,1,0,0,0,0,0,0
S,99,5,12,1495,14,62,2.3,82,74,32,1776,93,76,1,108,107,4,159,262,14,307,1,7,1,8,1,0,0,0,0
T,100,5,8,4487,14,39,3.5,92,43,77,2006,92,72,1,100,74,1,128,18,14,2869,1,9,1,2,1,0,0,0,1
A,1,1,28,8102,71,93,3.5,74,193,58,828,89,69,1,104,67,9,432,0,14,3185,1,2,1,5,1,1,0,1,1
B,2,1,26,4212,57,89,1.8,73,149,51,1405,91,70,1,118,96,8,431,0,40,1352,1,17,1,10,1,1,0,1,1
C,3,3,75,2611,54,87,8.1,78,397,50,1988,71,50,1,285,253,8,11,53,14,1672,1,6,1,11,1,1,0,1,1
D,4,3,527,1791239,48,89,2,43,3135,36,1064,51,41,1,124,109,11,9,0,40,165441,1,10,1,4,1,1,0,0,1
E,5,3,22,1580,43,93,2.4,67,141,9,531,93,59,0,56,50,2,2,37,17,368,1,15,1,0,0,0,1,0,0
F,6,3,12,59395,41,76,1.7,72,67,46,948,79,56,1,124,85,12,2,85,14,13146,1,15,1,6,1,1,1,0,1
G,7,5,11,86817,33,74,3.3,78,69,66,1549,65,49,1,147,110,38,1,1,14,45800,1,17,1,0,0,1,1,0,1
H,8,5,28,8102,26,68,3.5,74,193,58,828,89,69,1,104,67,9,0,1,14,3185,1,21,1,5,1,1,0,0,0
I,9,5,24,2,24,65,6.6,77,160,0,42,100,100,1,37,28,0,0,0,14,3,1,27,1,5,1,0,0,1,1
J,10,5,27,724231,23,64,1.8,55,156,44,2101,42,39,1,184,164,13,46,186,14,143023,1,11,1,6,1,1,0,1,1
K,91,5,24,3369,22,53,1.6,58,130,58,1891,84,68,1,173,127,38,3,17,40,989,1,6,1,6,1,1,1,1,1
L,92,5,1,0,21,47,1.4,0,0,0,2,5,6,0,1,1,0,0,0,14,7357814,0,2,1,0,0,0,0,0,0
M,93,5,21,2380649,17,43,3.3,56,136,36,1182,25,31,1,1,0,30,0,3,14,1856438,1,21,1,9,1,0,1,1,0
N,94,5,27,0,12,42,0.8,27,155,36,1446,11,11,0,54,40,8,0,0,13,48904134,1,6,1,3,1,0,0,0,0
O,95,5,20,2920,11,39,0.8,69,150,45,1639,76,69,1,78,77,0,682,17,14,5722,1,2,1,0,0,1,0,1,1
P,96,5,12,1926,7,28,1.8,38,86,22,1603,91,61,1,80,66,3,116,0,17,608,1,8,1,1,1,0,0,0,0
